Demasiado,Bandalos Chinos,BACH,Alternativa,2018
Viva La Vida,Coldplay,Viva la Vida or Death and All His Friends,Alternativa,2008
Stressed Out,Twenty One Pilots,Blurryface,Pop,2015
Its My Life,Bon Jovi,Crush,Pop rock,2000
Locked Out Of Heaven,Bruno Mars,Unorthodox Jukebox,Pop rock,2012
Mecha,Chano,El camino,Pop,2022
Chlorine,Twenty One Pilots,Trench,Pop,2018
Goteo,Duki,Super sangre joven,Trap latino,2019
El Innobrable,Cuarteto De Nos,Apocalipsis zombi,Rock,2017
Y como es el,Marc Anthony,Iconos,Salsa romantica,2010
Aun estas en mis sueños,Rata Blanca,La llave de la puerta secreta,Heavy metal,2005
De musica ligera,Soda Stereo,Cancion animal,Pop,1990
Chop Suey!,System Of A Down,Toxicity,Heavy metal,2001
Cambiando La Piel,Wos,Oscuro extasis,Hip-Hop,2021
Carnavalintro,Chano,El otro,Pop,2018
Yo He Perdido Algo,Chano,El Doble,Pop,2019
